"name";"count";"model";"sku";"price";"discriptions";"brend";"foto";"cat1";"cat2";"cat3"
"Кастрюля Bergner BG 2444";998;"BG 2444";"BG 2444- yavshoke";1335;"<ul>
<li>Кастрюля 6,8 л/28 см с крышкой</li> <li>Материал: кастрюля – литой алюминий,</li> <li>Керамическое антипригарное покрытие Silver Plus с антибактериальными </li> <li>Свойствами,наружное термостойкое покрытие,</li> <li>Крышка – термостойкое прозрачное стекло с отверстием для выхода пара, с ободком из нержавеющей стали,</li> <li>
Ручки – алюминий с покрытием soft-touch, жаропрочные, удобные и практичные</li> <li>Уточняйте цвет или оттенок изделия</li> <li>Дно: многослойное, индукционное</li> <li>Пища быстро нагревается и остается теплой длительное время</li> <li>Тип источника тепла: подходит для всех видов кухонных плит, включая индукцию</li> <li>Легко очищается</li> </ul>";"Bergner";"data/yavshoke/110150947_w640_h640_cid435614_pid29524247-521248f1.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля D = 18см 2.4л Coni Lessner 55841 18";998;"55841-18";"55841-18- yavshoke";317;"
<p>Диаметр: 18 см<br> Объем: 2,4 л<br> Форма: круглая<br> Материал корпуса: нержавеющая сталь 18/10<br> Толщина стенок: 0,6 мм<br> Дно: капсульное многослойное с индукцией<br> Ручка: нержавеющая сталь-клепочное соеденение<br> Крышка: жаропрочное стекло с отверстием для выхода пара<br> Совместимость: индукционные, электрические, стеклокерамические, газовые плиты; посудомоечная машина<br> Упаковка: цветной ламинированный картон<br> Производитель: Англия<br> Кастрюля Lessner Apple 55841-18 выполнена из высококачественной нержавеющей стали 18/10. Сталь с таким составом считается экологически безопасной, прочной и не подвержена коррозии. Известна эта сталь под названием “Медицинская сталь”. Ручки кастрюли Lessner Apple 55841-18 термостойкие металлические. Крышка изготовлена из нержавеющей стали и термостойкого стекла с пароотводом, а также специальным ободком препятствующим переливанию жидкости. Кастрюля Lessner экологически безопасна для всей семьи, включая Ваших малышей и может быть использована на электрических, газовых и стеклокерамических, а также индукционных плитах.<br> Данная кастрюля пригодная для мытья в посудомоечной машине, практична в использовании, легко чистится и сохраняет безупречный внешний вид на протяжении длительного периода времени.</p> <p>Характеристики</p> <p>Производитель Lessner<br> Страна производства Великобритания<br> Материал нержавеющая сталь<br> Тип Кастрюля<br> Крышка жаропрочное стекло<br> Ручка Нержавеющая сталь<br> Объем кастрюли 2.1-3 л<br> Тип дна Многослойное<br> Количество предметов в наборе 2<br> Диаметр кастрюли 18 см<br> Тип плиты Электрическая|Стеклокерамическая|Индукционная|Газовая</p>
";"Lessner";"data/yavshoke/410527837_w640_h640_cid435614_pid263155778-54a72218.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля D = 18см 3.1л Apple Lessner 55842 18";998;"55842-18";"55842-18- yavshoke";290;"
<p>Описание</p> <p>Диаметр: 18 см<br> Объем: 3,1 л<br> Форма: круглая<br> Материал корпуса: нержавеющая сталь 18/10<br> Полировка: зеркальная<br> Толщина стенок: 0,6 мм<br> Тип дна: многослойное капсульное<br> Толщина дна: 8 мм<br> Материал ручек: нержавеющая сталь<br> Материал крышки: жаропрочное стекло с отверстием для выхода пара<br> Совместимость: электрические, стеклокерамические, газовые плиты; посудомоечная машина<br> Упаковка: цветной ламинированный картон<br> Производитель: Англия<br> Кастрюля Lessner Apple 55842-18 выполнена из высококачественной нержавеющей стали 18/10. Сталь с таким составом считается экологически безопасной, прочной и не подвержена коррозии. Известна эта сталь под названием “Медицинская сталь”. Ручки кастрюли Lessner Apple 55842-18 термостойкие металлические. Крышка изготовлена из нержавеющей стали и термостойкого стекла с пароотводом, а также специальным ободком препятствующим переливанию жидкости.<br> Кастрюля Lessner экологически безопасна для всей семьи, включая Ваших малышей и может быть использована на электрических, газовых и стеклокерамических плитах.<br> Данная кастрюля пригодная для мытья в посудомоечной машине, практична в использовании, легко чистится и сохраняет безупречный внешний вид на протяжении длительного периода времени.</p> <p>Характеристики</p> <p>Производитель Lessner<br> Страна производства Великобритания<br> Материал нержавеющая сталь<br> Тип Кастрюля<br> Крышка жаропрочное стекло<br> Ручка Нержавеющая сталь<br> Объем кастрюли 2.1-3 л<br> Тип дна Многослойное<br> Количество предметов в наборе 2<br> Диаметр кастрюли 18 см<br> Тип плиты Электрическая|Стеклокерамическая|Газовая</p>
";"Lessner";"data/yavshoke/410527838_w640_h640_cid435614_pid263155779-5f7d63de.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 5,1 л Wellberg WB 2065";998;"WB 2065";"WB 2065- yavshoke";463;"<ul>
<li>Материал: литой алюминий</li> <li>Размер: Ø28 x 13 см</li> <li>Объем: 5,1 л</li> <li>Антипригарное керамическое покрытие</li> <li>
Ручки с силиконовой накладкой</li> <li>Стеклянная крышка</li> <li>Индукционное дно</li> <li>Цвет: черный, красный</li> </ul>";"Wellberg";"data/yavshoke/110153060_w640_h640_cid435614_pid29920312-7fe7a0c2.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Керамическая кастрюля 4,2 л Sacher 00077SHKP";998;"00077SHKP";"00077SHKP- yavshoke";420;"<ul>
<li>Кастрюля Sacher  черная – просто незаменимая вещь на любой кухне. Ее объем позволит накормить вкусным обедом даже большую семью. Сделана из экологически чистой глины, она отличается надежностью и долговечностью, а также безопасна  для здоровья. Благодаря специальной технологии, Кастрюля Sacher  черная устойчива к перепадам температуры, быстро нагревается и долго сохраняет тепло. Ее можно использовать в духовках, микроволновках, различных печах и даже на открытом огне. Универсальная, практичная и очень проста в обращении, Кастрюля Sacher  черная понравится каждой хозяйке.</li> <li>Материал: глина, керамика</li> <li>Цвет: черный</li> <li>Объем: 4,2 л</li> </ul>";"Sacher";"data/yavshoke/112646788_w640_h640_00077_8713668.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 2 л Wellberg WB 2063";998;"WB 2063";"WB 2063- yavshoke";337;"<ul>
<li>Материал: литой алюминий</li> <li>Размер: Ø20 x 9,2 см</li> <li>Объем: 2 л</li> <li>Антипригарное керамическое покрытие</li> <li>
Ручки с силиконовой накладкой</li> <li>Стеклянная крышка</li> <li>Индукционное дно</li> <li>Цвет: черный, красный</li> </ul>";"Wellberg";"data/yavshoke/110153108_w640_h640_cid435614_pid29919882-9857ada2.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 3,3л Bergner BG 6507";998;"BG 6507";"BG 6507- yavshoke";631;"<ul>
<li>Материал: нержавеющая сталь 18/10</li> <li>Размер: Ø20х11,5 см</li> <li>Объем: 3,3 л</li> <li>Индукционное дно</li> <li>Пятислойное капсульное дно</li> <li>Мерная шкала</li> <li>Стеклянная крышка</li> <li>Сочетание матовой и глянцевой поверхности</li> <li>Подходит для всех типов плит</li> </ul>";"Bergner";"data/yavshoke/110150972_w640_h640_cid435614_pid29587808-645a165c.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля Bergner BG 6509";998;"BG 6509";"BG 6509- yavshoke";568;"<ul>
<li>Материал: нержавеющая сталь 18/10 </li> <li>Размер: Ø20х9,5 см </li> <li>Объем: 2,7 л </li> <li>Индукционное дно </li> <li>Пятислойные капсульное дно </li> <li>Мерная шкала </li> <li>Стеклянная крышка </li> <li>Сочетание матовой и глянцевой поверхности </li> <li>Подходит для всех типов плит</li> </ul>";"Bergner";"data/yavshoke/110151031_w640_h640_cid435614_pid29519324-b8270fe1.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 1,5 л Wellberg WB 1085";998;"WB 1085";"WB 1085- yavshoke";463;"<ul>
<li>Материал: нержавеющая сталь</li> <li>Размер: Ø16х9,5 см</li> <li>Объем: 1,5 л</li> <li>Индукционное дно</li> <li>Капсульное дно</li> <li>Мерная шкала</li> <li>
Ручки из нержавеющей стали</li> <li>Глянцевая поверхность</li> <li>Стеклянная крышка с отверстием для выхода пара</li> <li>Подходит для всех типов плит</li> </ul>";"Wellberg";"data/yavshoke/110152448_w640_h640_cid435614_pid29748395-59140247.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 2.0л Kamille 5716S";998;"a5716S";"a5716S- yavshoke";297;"<ul>
<li>Материал: высокопрочная нержавеющая сталь 18/10</li> <li>Крышка: стекло</li> <li>Диаметр, см: 16</li> <li>Объем, л: 2.0<br>   Особенности:</li> <li>изготовлена из высокопрочной нержавеющей стали, не подвергающейся коррозии и потускнению</li> <li>идеальна для интенсивного использования, устойчива к износу</li> <li>имеет пятислойное капсульное дно</li> <li>отличается высокой теплопроводимостью и распределением температуры, что обеспечивает быстрое нагревание и длительное удержание тепла</li> <li>пригодна для любых видов плит</li> <li>пригодна для мытья в посудомоечной машине
</li> <li>практичный ободок предотвращает проливание</li> <li>удобна при использовании и чистке<br>   Уход за посудой:</li> <li>перед началом использования необходимо удалить с изделия все ярлыки и элементы упаковки, тщательно вымыть изделие и просушить</li> <li>после каждого использования дождаться охлаждения изделия, затем тщательно вымыть и просушить</li> <li>не рекомендуется использовать абразивные моющие средства и металлические щетки<br>   Использование и правила безопасности:</li> <li>не подвергать изделия резким изменениям температуры</li> <li>не оставлять пустую посуду на огне</li> <li>избегать попадания пламени на ручки и боковые стенки посуды</li> <li>не использовать острые металлические аксессуары</li> </ul>";;"data/yavshoke/114329003_w640_h640_cid435614_pid30279243-698b258e.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
