"count";"name";"model";"sku";"price";"discriptions";"foto";"cat1";"cat2";"cat3"
998;"Кастрюля керамика Baking Line D = 12см 1,7л Thames Lessner 61501 166457";"61501-166457";"61501-166457- yavshoke";200;"
<strong>Кастрюля керамическая Lessner Thames (61501) 1,7л</strong><br><br>- Материал: жаростойкая керамика<br>- Материал крышки: жаропрочное стекло<br>- Объем: 1,7 л<br>- Диаметр: 18 см<br>- Форма: круглая<br>- Выдерживает температуру от +400 до -30 С°<br>- Стенки имеют микропоры, через которые проходит воздух, благодаря чему еда не варится, а томится.<br>- Можно использовать в духовке,микроволновой печи, мыть в посудомоечной машине<br><br><br><strong>Характеристики:</strong><ul>
<li>Обьем, л.: 1,6</li>
<li>Материал: Керамика</li>
<li>Форма: Круглая</li>
</ul>
";"data/yavshoke/410515655_w640_h640_cid435614_pid263155575-d4ccb4d1.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Жаропрочная керамическая кастрюля 1.6 л Sacher SHKP00066";"00066SHKP";"00066SHKP- yavshoke";296;"<ul>
<li>Форма    круглая</li> <li>Крышка    термостойкая керамика</li> <li>Материал    термостойкая керамика</li> <li>Объем, л    1,6</li> <li>Назначение    духовые шкафы, СВЧ, все виды плит</li> <li>Цвет    коричневый</li> <li>Уточняйте цвет или оттенок изделия</li> </ul>";"data/yavshoke/112647623_w640_h640_00066_320108999641.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой круглая 1.5 л VaBene VB 3020005";"VB 3020005";"VB 3020005- yavshoke";126;"<ul>
<li> <p>Материал: жаропрочное стекло</p> </li> <li> <p>Размер: 23,7 х 20,3 х 6,6 см</p> </li> <li> <p>Объем 1,5 л</p> </li> </ul>";"data/yavshoke/110152532_w640_h640_cid435614_pid29676375-255dbe6f.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 1,2л Wellberg WB 30913";"WB 30913";"WB 30913- yavshoke";147;"<ul>
<li>Объем : 1,2 л, </li> <li>Материал : жаропрочная керамика, </li> <li>5 деколей</li> </ul>";"data/yavshoke/111397979_w640_h640_wb_30913.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 1,8л Wellberg WB 30914";"WB 30914";"WB 30914- yavshoke";189;"<ul>
<li>Объем : 1,8 л, </li> <li>Материал : жаропрочная керамика, </li> <li>5 деколей</li> </ul>";"data/yavshoke/111398721_w640_h640_wb_30913.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 1,8л Wellberg WB 30916";"WB 30916";"WB 30916- yavshoke";189;"<ul>
<li>Объем : 1,8 л, </li> <li>Материал : жаропрочная керамика, </li> <li>5 деколей</li> </ul>";"data/yavshoke/111400511_w640_h640_wb_30916.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 2,4л Wellberg WB 30917";"WB 30917";"WB 30917- yavshoke";231;"<ul>
<li>Объем : 2,4 л, </li> <li>Материал : жаропрочная керамика, </li> <li>5 деколей</li> </ul>";"data/yavshoke/111400635_w640_h640_wb_30916.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля Granchio Fiore 1.8 л. 88505";"V88505";"V88505- yavshoke";1024;"<p>Объем, л. 1.8<br> Диаметр, см. 18<br> Легкая в уходе, можно мыть в посудомоечных машинах<br> Привлекательный и практичный дизайн<br> Может использоваться в морозильных камерах, микроволновых печах и на всех видах плит, кроме индукционных.<br> Материал: керамика</p>";"data/yavshoke/114907271_w640_h640_cid435614_pid53510720-4c85fff7.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля керамическая для запекания 1.5л Kamille 6100";"a6100";"a6100- yavshoke";170;"<ul>
<li>Материал ― жаропрочная глазированная керамика</li> <li>Объем 1.5 л.</li> <li>Размеры 25*21*13.5 см</li> <li>Цвет ― фиолетовый, красный</li> </ul>";"data/yavshoke/204985998_w640_h640_6100.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля керамическая для запекания 2.0л (30*25*11см) с крышкой (красный, фиолетовый) Kamille (a6107)";"a6107";"a6107- yavshoke";347;"
<p>Производитель: Kamille (Украина)</p> <p>Кастрюли из жаропрочной керамики<br> Материал: жаропрочная глазированная керамика<br> Объем: 2.0 л<br> Размеры: 30<em>25</em>11 см<br> Цвет: красный, фиолетовый<br> Кастрюля керамическая для запекания 2.0л Kamille 6107 – отличаются высоким качеством и стильным дизайном. В таких касрюлях можно не только готовить, но и подавать блюда на стол. Керамика будет сохранять тепло, а аромат пробуждать аппетит у присутствующих. Керамическая посуда добавит нотку «домашности», создаст атмосферу уюта и комфорта. Вы вспомните вкуснейшие блюда Ваших бабушек, которые готовились в керамических горшках в большой печи. Ваши близкие обязательно оценят пищу из керамической посуды.</p>
";"data/yavshoke/453886386_w640_h640_cid435614_pid288135088-cd346f9c.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
